,year,month,Felony,Infraction,Misdemeanor,Other,Violation,Total_Arraignments
0,2018,1,3406,155,16328,65,437,20391
1,2018,2,3141,141,14384,64,440,18170
2,2018,3,3276,157,15493,64,388,19378
3,2018,4,3162,149,14286,60,399,18056
4,2018,5,3454,160,14517,59,459,18649
5,2018,6,3188,147,12988,43,390,16756
6,2018,7,3245,142,13384,35,424,17230
7,2018,8,3389,148,13347,59,439,17382
8,2018,9,2937,113,11450,57,305,14862
9,2018,10,3074,136,12362,50,354,15976
10,2018,11,2769,123,10932,39,261,14124
11,2018,12,2563,104,10794,47,224,13732
12,2019,1,3023,139,11962,105,272,15501
13,2019,2,2690,118,10598,97,263,13766
14,2019,3,3076,164,12197,128,319,15884
15,2019,4,2896,189,11564,125,377,15151
16,2019,5,2894,157,11736,123,368,15278
17,2019,6,2605,123,10717,137,389,13971
18,2019,7,2949,147,11545,139,303,15083
19,2019,8,3027,125,10584,123,346,14205
20,2019,9,2834,110,9558,110,419,13031
21,2019,10,2821,143,9720,117,394,13195
22,2019,11,2439,101,8723,106,401,11770
23,2019,12,2134,76,7900,116,166,10392
24,2020,1,2450,103,7850,128,195,10726
25,2020,2,2396,126,8133,120,190,10965
26,2020,3,2079,62,6102,87,161,8491
27,2020,4,1403,4,2757,25,52,4241
28,2020,5,2492,18,4436,35,78,7059
29,2020,6,1822,7,2657,29,34,4549
30,2020,7,1567,16,2810,32,23,4448
31,2020,8,2070,13,3610,51,52,5796
32,2020,9,2451,19,4643,66,78,7257
33,2020,10,2601,32,6037,54,88,8812
34,2020,11,2187,41,5174,58,87,7547
35,2020,12,2303,33,5176,42,88,7642
36,2021,1,2462,43,5890,48,95,8538
37,2021,2,2054,44,5146,53,95,7392
38,2021,3,2440,50,6361,62,115,9028
39,2021,4,1832,31,5416,67,90,7436
40,2021,5,2026,60,6211,69,88,8454
41,2021,6,2314,65,7263,64,111,9817
42,2021,7,2530,67,8931,83,120,11731
43,2021,8,2511,76,8844,96,113,11640
44,2021,9,2402,60,7377,61,113,10013
45,2021,10,2538,45,7650,77,114,10424
46,2021,11,2214,60,6986,89,88,9437
47,2021,12,2226,37,6837,65,88,9253
48,2022,1,2322,33,6713,84,82,9234
49,2022,2,2354,58,6954,92,95,9553
50,2022,3,2727,111,8715,95,129,11777
51,2022,4,2692,82,8877,103,143,11897
52,2022,5,2783,67,9040,92,125,12107
53,2022,6,2706,53,8705,94,137,11695
54,2022,7,2674,40,8509,97,108,11428
55,2022,8,2743,33,8106,88,137,11107
56,2022,9,2765,51,7882,85,140,10923
57,2022,10,2831,57,8521,99,189,11697
58,2022,11,2620,66,8651,86,175,11598
59,2022,12,2540,59,8157,107,145,11008
60,2023,1,76,1,194,5,3,279
