,year,month,Inmate_Fight,Inmate_Slashing,Inmate_Stabbing,Total_Inmate_Incidents
0,2016,1,,1.0,,1.0
1,2016,2,405.0,8.0,1.0,414.0
2,2016,3,,1.0,,1.0
3,2016,4,439.0,11.0,1.0,451.0
4,2016,5,445.0,7.0,1.0,453.0
5,2016,6,542.0,9.0,1.0,552.0
6,2016,7,499.0,15.0,,514.0
7,2016,8,549.0,13.0,2.0,564.0
8,2016,9,543.0,20.0,2.0,565.0
9,2016,10,486.0,13.0,2.0,501.0
10,2016,11,415.0,11.0,3.0,429.0
11,2016,12,449.0,11.0,1.0,461.0
12,2017,1,465.0,8.0,3.0,476.0
13,2017,2,462.0,14.0,2.0,478.0
14,2017,3,489.0,16.0,1.0,506.0
15,2017,4,449.0,12.0,,461.0
16,2017,5,424.0,6.0,,430.0
17,2017,6,448.0,13.0,1.0,462.0
18,2017,7,508.0,9.0,4.0,521.0
19,2017,8,486.0,5.0,,491.0
20,2017,9,425.0,10.0,2.0,437.0
21,2017,10,460.0,7.0,,467.0
22,2017,11,508.0,8.0,1.0,517.0
23,2017,12,103.0,9.0,1.0,113.0
24,2018,1,,11.0,2.0,13.0
25,2018,2,,4.0,,4.0
26,2018,3,,6.0,1.0,7.0
27,2018,4,,8.0,,8.0
28,2018,5,,5.0,,5.0
29,2018,6,,5.0,,5.0
30,2018,7,,2.0,,2.0
31,2018,8,,11.0,,11.0
32,2018,9,,5.0,1.0,6.0
33,2018,10,,8.0,2.0,10.0
34,2018,11,,8.0,1.0,9.0
35,2018,12,,15.0,1.0,16.0
36,2019,1,,9.0,1.0,10.0
37,2019,2,,4.0,,4.0
38,2019,3,,6.0,1.0,7.0
39,2019,4,,7.0,,7.0
40,2019,5,,13.0,,13.0
41,2019,6,,12.0,,12.0
42,2019,7,1.0,10.0,4.0,15.0
43,2019,8,,6.0,1.0,7.0
44,2019,9,,10.0,4.0,14.0
45,2019,10,,5.0,2.0,7.0
46,2019,11,,13.0,2.0,15.0
47,2019,12,,8.0,2.0,10.0
48,2020,1,,10.0,,10.0
49,2020,2,,5.0,,5.0
50,2020,3,,12.0,1.0,13.0
51,2020,4,,5.0,2.0,7.0
52,2020,5,,5.0,3.0,8.0
53,2020,6,,10.0,4.0,14.0
54,2020,7,,7.0,4.0,11.0
55,2020,8,,6.0,1.0,7.0
56,2020,9,,6.0,3.0,9.0
57,2020,10,,10.0,6.0,16.0
58,2020,11,,7.0,5.0,12.0
59,2020,12,,6.0,3.0,9.0
60,2021,1,,9.0,5.0,14.0
61,2021,2,,10.0,9.0,19.0
62,2021,3,,16.0,11.0,27.0
63,2021,4,,24.0,16.0,40.0
64,2021,5,,25.0,17.0,42.0
65,2021,6,,19.0,22.0,41.0
66,2021,7,,19.0,9.0,28.0
67,2021,8,,23.0,16.0,39.0
68,2021,9,,28.0,23.0,51.0
69,2021,10,,21.0,17.0,38.0
70,2021,11,,22.0,13.0,35.0
71,2021,12,,23.0,23.0,46.0
72,2022,1,,30.0,20.0,50.0
73,2022,2,,20.0,12.0,32.0
74,2022,3,,35.0,31.0,66.0
75,2022,4,,23.0,20.0,43.0
76,2022,5,,16.0,8.0,24.0
77,2022,6,,19.0,20.0,39.0
78,2022,7,,29.0,14.0,43.0
79,2022,8,,28.0,12.0,40.0
80,2022,9,,18.0,12.0,30.0
81,2022,10,,31.0,15.0,46.0
82,2022,11,,23.0,10.0,33.0
83,2022,12,,19.0,13.0,32.0
84,2023,1,,31.0,10.0,41.0
85,2023,2,,10.0,13.0,23.0
86,2023,3,,25.0,7.0,32.0
87,2023,4,,14.0,8.0,22.0
88,2023,5,,14.0,11.0,25.0
