,year,month,Admissions,Discharges,Population Change,Year-Mo
0,2014,1,5954,5811,143,2014-1
1,2014,2,5232,5417,-185,2014-2
2,2014,3,6136,6061,75,2014-3
3,2014,4,5677,6005,-328,2014-4
4,2014,5,6005,6130,-125,2014-5
5,2014,6,5756,5853,-97,2014-6
6,2014,7,5874,5923,-49,2014-7
7,2014,8,5440,5542,-102,2014-8
8,2014,9,5539,5484,55,2014-9
9,2014,10,5843,5841,2,2014-10
10,2014,11,4989,5143,-154,2014-11
11,2014,12,3887,5020,-1133,2014-12
12,2015,1,4985,4496,489,2015-1
13,2015,2,4724,4871,-147,2015-2
14,2015,3,5165,5397,-232,2015-3
15,2015,4,5230,5259,-29,2015-4
16,2015,5,5136,5116,20,2015-5
17,2015,6,5107,5223,-116,2015-6
18,2015,7,5343,5560,-217,2015-7
19,2015,8,5025,4767,258,2015-8
20,2015,9,4930,4901,29,2015-9
21,2015,10,5079,4914,165,2015-10
22,2015,11,4622,4632,-10,2015-11
23,2015,12,4224,4806,-582,2015-12
24,2016,1,5174,4524,650,2016-1
25,2016,2,4971,4943,28,2016-2
26,2016,3,5134,5370,-236,2016-3
27,2016,4,4803,4922,-119,2016-4
28,2016,5,4982,4910,72,2016-5
29,2016,6,4899,4941,-42,2016-6
30,2016,7,4665,4633,32,2016-7
31,2016,8,4741,4732,9,2016-8
32,2016,9,4604,4749,-145,2016-9
33,2016,10,4535,4461,74,2016-10
34,2016,11,4136,4431,-295,2016-11
35,2016,12,4004,4483,-479,2016-12
36,2017,1,4782,4375,407,2017-1
37,2017,2,4041,4145,-104,2017-2
38,2017,3,4799,5026,-227,2017-3
39,2017,4,4560,4449,111,2017-4
40,2017,5,4659,4752,-93,2017-5
41,2017,6,4728,4834,-106,2017-6
42,2017,7,4345,4232,113,2017-7
43,2017,8,4421,4485,-64,2017-8
44,2017,9,4217,4245,-28,2017-9
45,2017,10,4328,4242,86,2017-10
46,2017,11,3972,4011,-39,2017-11
47,2017,12,3561,3902,-341,2017-12
48,2018,1,4107,3756,351,2018-1
49,2018,2,3445,3491,-46,2018-2
50,2018,3,3590,3902,-312,2018-3
51,2018,4,3645,3622,23,2018-4
52,2018,5,3765,4004,-239,2018-5
53,2018,6,3568,3661,-93,2018-6
54,2018,7,3380,3442,-62,2018-7
55,2018,8,3595,3617,-22,2018-8
56,2018,9,3177,2997,180,2018-9
57,2018,10,3455,3513,-58,2018-10
58,2018,11,3089,3143,-54,2018-11
59,2018,12,2829,3102,-273,2018-12
60,2019,1,3466,3070,396,2019-1
61,2019,2,3006,3124,-118,2019-2
62,2019,3,3117,3267,-150,2019-3
63,2019,4,3039,3214,-175,2019-4
64,2019,5,3116,3256,-140,2019-5
65,2019,6,2767,2761,6,2019-6
66,2019,7,3045,3090,-45,2019-7
67,2019,8,2708,3014,-306,2019-8
68,2019,9,2666,2443,223,2019-9
69,2019,10,2724,2788,-64,2019-10
70,2019,11,2167,2445,-278,2019-11
71,2019,12,1648,2574,-926,2019-12
72,2020,1,1952,2198,-246,2020-1
73,2020,2,1827,1835,-8,2020-2
74,2020,3,1368,2186,-818,2020-3
75,2020,4,609,1276,-667,2020-4
76,2020,5,1139,941,198,2020-5
77,2020,6,814,891,-77,2020-6
78,2020,7,959,918,41,2020-7
79,2020,8,1167,963,204,2020-8
80,2020,9,1557,1337,220,2020-9
81,2020,10,1542,1271,271,2020-10
82,2020,11,1277,1111,166,2020-11
83,2020,12,1236,1070,166,2020-12
84,2021,1,1350,972,378,2021-1
85,2021,2,1228,965,263,2021-2
86,2021,3,1460,1268,192,2021-3
87,2021,4,1256,1307,-51,2021-4
88,2021,5,1380,1284,96,2021-5
89,2021,6,1507,1401,106,2021-6
90,2021,7,1543,1446,97,2021-7
91,2021,8,1493,1328,165,2021-8
92,2021,9,1335,1724,-389,2021-9
93,2021,10,1298,1388,-90,2021-10
94,2021,11,1211,1322,-111,2021-11
95,2021,12,1272,1261,11,2021-12
96,2022,1,1345,1112,233,2022-1
97,2022,2,1454,1310,144,2022-2
98,2022,3,1601,1788,-187,2022-3
99,2022,4,1528,1585,-57,2022-4
100,2022,5,1676,1596,80,2022-5
101,2022,6,1724,1674,50,2022-6
102,2022,7,1692,1538,154,2022-7
103,2022,8,1753,1743,10,2022-8
104,2022,9,1842,1744,98,2022-9
105,2022,10,1795,1678,117,2022-10
106,2022,11,1588,1630,-42,2022-11
107,2022,12,1504,1700,-196,2022-12
108,2023,1,1844,1591,253,2023-1
109,2023,2,1620,1684,-64,2023-2
110,2023,3,1836,1859,-23,2023-3
111,2023,4,1828,1711,117,2023-4
112,2023,5,1903,1931,-28,2023-5
113,2023,6,1963,1898,65,2023-6
114,2023,7,1924,1812,112,2023-7
115,2023,8,1871,1913,-42,2023-8
